epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99219,1.04868,3.79285,0.86606,0.00192,0.16531,0.03391,0.02478,0.6487,3.95067,0.78359,0.0901,0.0001,0.0001
2,4.91564,0.7993,2.93207,0.82245,0.0008,0.14286,0.07956,0.06086,0.81682,3.64244,0.78727,0.0792098,0.000209795,0.000209795
3,6.97965,0.76857,2.34788,0.82099,0.0008,0.14286,0.07023,0.0552,0.70002,3.50849,0.78179,0.0683188,0.000318751,0.000318751
4,9.0299,0.76703,2.02041,0.82641,0.25355,0.1854,0.195,0.16995,0.64355,3.41883,0.77977,0.0574262,0.00042623,0.00042623
5,11.0668,0.77029,1.7806,0.82916,0.29964,0.42365,0.3396,0.28046,0.66371,3.33873,0.7854,0.0465316,0.000531602,0.000531602
6,12.8609,0.73909,1.59863,0.82488,0.22083,0.68489,0.45137,0.35981,0.67789,3.22263,0.7915,0.0356343,0.000634252,0.000634252
7,14.6701,0.73072,1.48513,0.83769,0.24215,0.88086,0.68522,0.56931,0.60422,2.94353,0.78985,0.0247336,0.000733582,0.000733582
8,16.5472,0.70319,1.35431,0.83133,0.17614,0.96726,0.75786,0.63657,0.58715,2.76392,0.78828,0.013829,0.000829014,0.000829014
9,18.5364,0.7033,1.30158,0.82787,0.94077,0.41756,0.88128,0.73384,0.6173,2.2836,0.79119,0.00292,0.000919996,0.000919996
10,20.4512,0.7019,1.21213,0.83066,0.97125,0.5015,0.91018,0.75926,0.6145,1.99172,0.79247,0.000922942,0.000922942,0.000922942
11,22.4089,0.69369,1.14439,0.82684,0.95496,0.73123,0.92958,0.78562,0.58674,1.67261,0.79003,0.000905463,0.000905463,0.000905463
12,24.3412,0.66358,1.10712,0.82455,0.92404,0.87297,0.94832,0.81346,0.53249,1.15832,0.78781,0.000886404,0.000886404,0.000886404
13,26.2406,0.63856,1.04607,0.81808,0.93315,0.87352,0.95476,0.82638,0.5183,1.00304,0.78783,0.000865839,0.000865839,0.000865839
14,28.2052,0.63287,1.0283,0.82103,0.92772,0.87894,0.96024,0.83656,0.50674,0.87918,0.78755,0.000843851,0.000843851,0.000843851
15,30.1455,0.65537,0.98291,0.81587,0.94691,0.89365,0.96363,0.84195,0.49217,0.73875,0.78981,0.000820525,0.000820525,0.000820525
16,32.2467,0.62842,0.96471,0.8143,0.94634,0.91198,0.96807,0.84614,0.48484,0.69675,0.79005,0.000795954,0.000795954,0.000795954
17,34.2862,0.63982,0.92601,0.81818,0.94851,0.927,0.96899,0.85287,0.49756,0.65471,0.78893,0.000770234,0.000770234,0.000770234
18,36.3469,0.61642,0.94719,0.81337,0.95538,0.94325,0.97178,0.84098,0.52964,0.63801,0.79231,0.000743468,0.000743468,0.000743468
19,38.303,0.605,0.88766,0.80722,0.96431,0.94224,0.97214,0.84315,0.52229,0.61969,0.79191,0.000715761,0.000715761,0.000715761
20,40.1423,0.60952,0.85486,0.81852,0.9661,0.93774,0.97282,0.86508,0.4681,0.59579,0.78697,0.000687222,0.000687222,0.000687222
21,41.968,0.59023,0.82293,0.80342,0.96668,0.94151,0.97413,0.87002,0.4725,0.5859,0.78601,0.000657963,0.000657963,0.000657963
22,43.8141,0.6605,0.88076,0.81504,0.96668,0.94557,0.97449,0.87457,0.46255,0.57917,0.78575,0.000628101,0.000628101,0.000628101
23,45.7836,0.58878,0.80804,0.81321,0.97282,0.94635,0.97452,0.86943,0.4728,0.55513,0.78645,0.000597754,0.000597754,0.000597754
24,47.8107,0.5607,0.76989,0.81179,0.95137,0.96407,0.97429,0.86206,0.47801,0.55546,0.78673,0.00056704,0.00056704,0.00056704
25,49.8547,0.61695,0.79332,0.81059,0.95223,0.96275,0.9755,0.88452,0.44293,0.52635,0.78381,0.000536081,0.000536081,0.000536081
26,51.7835,0.57175,0.76911,0.80576,0.95985,0.95483,0.97557,0.88766,0.43615,0.53057,0.78226,0.000505,0.000505,0.000505
27,53.5756,0.59112,0.75742,0.80309,0.96387,0.95173,0.97568,0.8807,0.43649,0.52687,0.7822,0.000473919,0.000473919,0.000473919
28,55.2909,0.58128,0.74328,0.80585,0.97426,0.94996,0.97587,0.87092,0.46194,0.51939,0.78431,0.00044296,0.00044296,0.00044296
29,57.2429,0.5523,0.71369,0.80636,0.97504,0.94956,0.97614,0.86876,0.46887,0.5188,0.78431,0.000412246,0.000412246,0.000412246
30,59.3252,0.57512,0.75095,0.80653,0.97568,0.95152,0.97603,0.87309,0.46302,0.51433,0.78365,0.000381899,0.000381899,0.000381899
31,61.3741,0.56645,0.70265,0.81481,0.97998,0.9504,0.97597,0.88195,0.42984,0.50323,0.78122,0.000352037,0.000352037,0.000352037
32,63.3677,0.57666,0.70765,0.80152,0.98141,0.95022,0.97609,0.88698,0.41715,0.49643,0.78042,0.000322778,0.000322778,0.000322778
33,65.3059,0.56293,0.70324,0.80646,0.97133,0.96201,0.97561,0.88438,0.41821,0.50047,0.77949,0.000294239,0.000294239,0.000294239
34,67.2766,0.58343,0.69563,0.81369,0.97103,0.96273,0.97553,0.87768,0.43065,0.50137,0.7796,0.000266532,0.000266532,0.000266532
35,69.3063,0.57408,0.71571,0.80793,0.97096,0.96329,0.97579,0.87684,0.43713,0.50085,0.78015,0.000239766,0.000239766,0.000239766
36,71.3116,0.57578,0.69682,0.80843,0.97397,0.96811,0.97631,0.88056,0.44021,0.49085,0.78146,0.000214046,0.000214046,0.000214046
37,73.1715,0.53982,0.6704,0.80476,0.97405,0.96842,0.97618,0.88268,0.4301,0.49136,0.78125,0.000189475,0.000189475,0.000189475
38,75.1509,0.53279,0.68657,0.80625,0.97427,0.96808,0.97647,0.88801,0.41746,0.48495,0.7806,0.000166149,0.000166149,0.000166149
39,77.086,0.5339,0.68416,0.80506,0.97525,0.96841,0.97628,0.89096,0.41285,0.48142,0.78052,0.000144161,0.000144161,0.000144161
40,79.0516,0.53665,0.6767,0.80475,0.97527,0.96818,0.97643,0.8888,0.41395,0.48344,0.78036,0.000123596,0.000123596,0.000123596
41,81.5856,0.49229,0.7447,0.79167,0.97372,0.96864,0.97664,0.89087,0.42395,0.47306,0.78052,0.000104537,0.000104537,0.000104537
42,83.5207,0.48667,0.71937,0.79235,0.97277,0.96909,0.9767,0.88551,0.42773,0.4739,0.78071,8.70577e-05,8.70577e-05,8.70577e-05
43,85.379,0.47271,0.69941,0.79196,0.97262,0.96901,0.97669,0.88056,0.43074,0.4761,0.78077,7.12282e-05,7.12282e-05,7.12282e-05
44,87.2681,0.50614,0.73404,0.79646,0.96944,0.97291,0.97676,0.8784,0.42958,0.47656,0.78024,5.71106e-05,5.71106e-05,5.71106e-05
45,88.7799,0.51191,0.76582,0.79272,0.97165,0.97058,0.97696,0.87999,0.42846,0.47896,0.7798,4.47606e-05,4.47606e-05,4.47606e-05
46,90.0905,0.48797,0.6916,0.79502,0.9707,0.97209,0.97694,0.88031,0.42798,0.48199,0.77955,3.4227e-05,3.4227e-05,3.4227e-05
47,91.5301,0.47525,0.69418,0.78895,0.97002,0.97353,0.97686,0.88246,0.42387,0.47694,0.77947,2.55513e-05,2.55513e-05,2.55513e-05
48,92.7147,0.4826,0.68848,0.79357,0.96998,0.97365,0.97689,0.88248,0.42277,0.4771,0.77935,1.87678e-05,1.87678e-05,1.87678e-05
49,94.0333,0.48148,0.68108,0.79549,0.96972,0.97438,0.97712,0.88601,0.41871,0.47692,0.77916,1.39032e-05,1.39032e-05,1.39032e-05
50,95.2095,0.47237,0.66667,0.79745,0.96965,0.97428,0.97733,0.88724,0.41748,0.47768,0.77898,1.09768e-05,1.09768e-05,1.09768e-05
1,2.45136,0.62988,0.71423,0.81695,0.9463,0.92858,0.97396,0.85683,0.52634,0.62724,0.78674,0.0901,0.0001,0.0001
2,3.63098,0.63011,0.68952,0.81525,0.96305,0.96686,0.97493,0.85952,0.51192,0.554,0.78608,0.0792098,0.000209795,0.000209795
3,5.0518,0.64366,0.64757,0.8138,0.9717,0.95713,0.97656,0.86104,0.53339,0.56317,0.78774,0.0683188,0.000318751,0.000318751
