epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.46817,1.3649,0.6978,1.06885,0.91794,0.89163,0.97455,0.50518,1.72797,1.37341,0.9951,0.0901,0.0001,0.0001
2,3.52393,1.09067,0.67643,0.94235,0.86795,0.92641,0.97671,0.57945,1.42326,1.19266,0.92498,0.0792098,0.000209795,0.000209795
3,4.60897,1.09541,0.68343,0.94354,0.884,0.94355,0.97602,0.50309,1.76227,1.39587,1.00181,0.0683188,0.000318751,0.000318751
4,5.6443,1.09542,0.72002,0.95462,0.9434,0.95635,0.97698,0.60062,1.4593,1.04773,0.94377,0.0574262,0.00042623,0.00042623
5,6.95645,1.0859,0.69243,0.92946,0.93323,0.93854,0.97027,0.68874,1.08384,0.91178,0.88038,0.0465316,0.000531602,0.000531602
6,8.16677,1.07506,0.68762,0.93514,0.91286,0.9557,0.97388,0.59702,1.36429,0.94766,0.91837,0.0356343,0.000634252,0.000634252
7,9.34111,1.10492,0.67749,0.90992,0.97014,0.9445,0.97721,0.55214,1.53733,0.82489,0.95169,0.0247336,0.000733582,0.000733582
8,10.6879,1.05746,0.67747,0.93616,0.96884,0.96866,0.97788,0.58275,1.45308,0.74396,0.93405,0.013829,0.000829014,0.000829014
9,12.1009,1.09497,0.66773,0.90932,0.97578,0.96269,0.9783,0.70442,1.09222,0.62122,0.87541,0.00292,0.000919996,0.000919996
10,13.3216,1.07149,0.66875,0.94084,0.98374,0.95506,0.97866,0.70018,1.1108,0.62363,0.87965,0.000922942,0.000922942,0.000922942
11,14.4331,1.05923,0.65635,0.93921,0.98097,0.95229,0.97856,0.65637,1.26716,0.64617,0.90415,0.000905463,0.000905463,0.000905463
12,15.5793,1.02138,0.65308,0.91607,0.98112,0.95224,0.97904,0.60536,1.41879,0.66255,0.91995,0.000886404,0.000886404,0.000886404
13,16.8207,1.00794,0.62559,0.90465,0.97659,0.95337,0.97927,0.64296,1.26497,0.63461,0.88986,0.000865839,0.000865839,0.000865839
14,18.0404,1.01002,0.63124,0.91036,0.97107,0.96029,0.97904,0.68669,1.10945,0.61327,0.86617,0.000843851,0.000843851,0.000843851
